id	shape	route	gateway	status	policy
D1	h1.1 Host=allowed	/api/client-config	master-trustfalse	200	allowed_host
D2	h1.1 Host=denied	/api/client-config	master-trustfalse	200	control_any
D3	h1.0 no Host	/api/client-config	master-trustfalse	200	control_any
D4	h1.1 abs-form auth=allowed	/api/client-config	master-trustfalse	200	allowed_host
D5	h1.1 abs-form auth=allowed Host=denied	/api/client-config	master-trustfalse	200	control_any
D6	h1.1 abs-form auth=denied Host=allowed	/api/client-config	master-trustfalse	200	allowed_host
D7	h2c :authority=allowed	/api/client-config	master-trustfalse	200	control_any
D8	h2c :authority=denied	/api/client-config	master-trustfalse	200	control_any
D9	h2c :authority=allowed host=denied	/api/client-config	master-trustfalse	200	control_any
D10	h2c :authority=denied host=allowed	/api/client-config	master-trustfalse	200	allowed_host
D11	h2c no :authority host=allowed	/api/client-config	master-trustfalse	200	allowed_host
D12	h2c no :authority no host	/api/client-config	master-trustfalse	200	control_any
D1	h1.1 Host=allowed	/api/db	master-trustfalse	200	-
D2	h1.1 Host=denied	/api/db	master-trustfalse	403	-
D3	h1.0 no Host	/api/db	master-trustfalse	403	-
D4	h1.1 abs-form auth=allowed	/api/db	master-trustfalse	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/db	master-trustfalse	403	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/db	master-trustfalse	200	-
D7	h2c :authority=allowed	/api/db	master-trustfalse	403	
D8	h2c :authority=denied	/api/db	master-trustfalse	403	
D9	h2c :authority=allowed host=denied	/api/db	master-trustfalse	403	
D10	h2c :authority=denied host=allowed	/api/db	master-trustfalse	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D11	h2c no :authority host=allowed	/api/db	master-trustfalse	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D12	h2c no :authority no host	/api/db	master-trustfalse	403	
D1	h1.1 Host=allowed	/api/search/stats	master-trustfalse	200	-
D2	h1.1 Host=denied	/api/search/stats	master-trustfalse	200	-
D3	h1.0 no Host	/api/search/stats	master-trustfalse	200	-
D4	h1.1 abs-form auth=allowed	/api/search/stats	master-trustfalse	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/search/stats	master-trustfalse	200	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/search/stats	master-trustfalse	200	-
D7	h2c :authority=allowed	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D8	h2c :authority=denied	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D9	h2c :authority=allowed host=denied	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D10	h2c :authority=denied host=allowed	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D11	h2c no :authority host=allowed	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D12	h2c no :authority no host	/api/search/stats	master-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D1	h1.1 Host=allowed	/api/client-config	branch-trustfalse	200	allowed_host
D2	h1.1 Host=denied	/api/client-config	branch-trustfalse	200	control_any
D3	h1.0 no Host	/api/client-config	branch-trustfalse	200	control_any
D4	h1.1 abs-form auth=allowed	/api/client-config	branch-trustfalse	200	allowed_host
D5	h1.1 abs-form auth=allowed Host=denied	/api/client-config	branch-trustfalse	200	allowed_host
D6	h1.1 abs-form auth=denied Host=allowed	/api/client-config	branch-trustfalse	200	control_any
D7	h2c :authority=allowed	/api/client-config	branch-trustfalse	200	allowed_host
D8	h2c :authority=denied	/api/client-config	branch-trustfalse	200	control_any
D9	h2c :authority=allowed host=denied	/api/client-config	branch-trustfalse	200	allowed_host
D10	h2c :authority=denied host=allowed	/api/client-config	branch-trustfalse	200	control_any
D11	h2c no :authority host=allowed	/api/client-config	branch-trustfalse	200	allowed_host
D12	h2c no :authority no host	/api/client-config	branch-trustfalse	200	control_any
D1	h1.1 Host=allowed	/api/db	branch-trustfalse	200	-
D2	h1.1 Host=denied	/api/db	branch-trustfalse	403	-
D3	h1.0 no Host	/api/db	branch-trustfalse	403	-
D4	h1.1 abs-form auth=allowed	/api/db	branch-trustfalse	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/db	branch-trustfalse	200	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/db	branch-trustfalse	403	-
D7	h2c :authority=allowed	/api/db	branch-trustfalse	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D8	h2c :authority=denied	/api/db	branch-trustfalse	403	
D9	h2c :authority=allowed host=denied	/api/db	branch-trustfalse	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D10	h2c :authority=denied host=allowed	/api/db	branch-trustfalse	403	
D11	h2c no :authority host=allowed	/api/db	branch-trustfalse	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D12	h2c no :authority no host	/api/db	branch-trustfalse	403	
D1	h1.1 Host=allowed	/api/search/stats	branch-trustfalse	200	-
D2	h1.1 Host=denied	/api/search/stats	branch-trustfalse	200	-
D3	h1.0 no Host	/api/search/stats	branch-trustfalse	200	-
D4	h1.1 abs-form auth=allowed	/api/search/stats	branch-trustfalse	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/search/stats	branch-trustfalse	200	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/search/stats	branch-trustfalse	200	-
D7	h2c :authority=allowed	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D8	h2c :authority=denied	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D9	h2c :authority=allowed host=denied	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D10	h2c :authority=denied host=allowed	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D11	h2c no :authority host=allowed	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D12	h2c no :authority no host	/api/search/stats	branch-trustfalse	200	{"setters":[],"bookmarks":[],"files":{"total":0,"unique":0,"mime_types":[]},"tag
D1	h1.1 Host=allowed	/api/client-config	master-strict	200	allowed_host
D2	h1.1 Host=denied	/api/client-config	master-strict	403	-
D3	h1.0 no Host	/api/client-config	master-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/client-config	master-strict	200	allowed_host
D5	h1.1 abs-form auth=allowed Host=denied	/api/client-config	master-strict	403	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/client-config	master-strict	200	allowed_host
D7	h2c :authority=allowed	/api/client-config	master-strict	403	
D8	h2c :authority=denied	/api/client-config	master-strict	403	
D9	h2c :authority=allowed host=denied	/api/client-config	master-strict	403	
D10	h2c :authority=denied host=allowed	/api/client-config	master-strict	200	allowed_host
D11	h2c no :authority host=allowed	/api/client-config	master-strict	200	allowed_host
D12	h2c no :authority no host	/api/client-config	master-strict	403	
D1	h1.1 Host=allowed	/api/db	master-strict	200	-
D2	h1.1 Host=denied	/api/db	master-strict	403	-
D3	h1.0 no Host	/api/db	master-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/db	master-strict	200	-
D5	h1.1 abs-form auth=allowed Host=denied	/api/db	master-strict	403	-
D6	h1.1 abs-form auth=denied Host=allowed	/api/db	master-strict	200	-
D7	h2c :authority=allowed	/api/db	master-strict	403	
D8	h2c :authority=denied	/api/db	master-strict	403	
D9	h2c :authority=allowed host=denied	/api/db	master-strict	403	
D10	h2c :authority=denied host=allowed	/api/db	master-strict	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D11	h2c no :authority host=allowed	/api/db	master-strict	200	{"index":{"current":"default","all":["default"]},"user_data":{"current":"default
D12	h2c no :authority no host	/api/db	master-strict	403	
D1	h1.1 Host=allowed	/api/search/stats	master-strict	200	-
D2	h1.1 Host=denied	/api/search/stats	master-strict	403	-
D3	h1.0 no Host	/api/search/stats	master-strict	403	-
D4	h1.1 abs-form auth=allowed	/api/search/stats	master-strict	200	-
