2026-09-16T21:48:12.451074Z DEBUG panoptikon::inferio::ledger: admitted a worker to a GPU's ledger model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 replica=2 base_mb=Some(31150) base_method="free_delta" reserved_at_load_mb=Some(31202) seeded_from_store=false
2026-09-16T21:48:12.460178Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=0 canvas_pixels=1843200 share_mb=0 room_mb=0 headroom_mb=0 external_mb=1317 reserve_mb=330 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=0 squeezed=true window_requests=2
2026-09-16T21:48:13.983137Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1000000 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=1 squeezed=false window_requests=1
2026-09-16T21:48:14.301315Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=500000 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=2 squeezed=false window_requests=1
2026-09-16T21:48:14.619880Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=250000 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=3 squeezed=false window_requests=1
2026-09-16T21:48:14.938281Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=125000 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=4 squeezed=false window_requests=1
2026-09-16T21:48:15.259861Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=62500 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=5 squeezed=false window_requests=1
2026-09-16T21:48:15.578271Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=31250 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=6 squeezed=false window_requests=1
2026-09-16T21:48:15.895046Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=15625 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=7 squeezed=false window_requests=1
2026-09-16T21:48:16.216135Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=7812 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=8 squeezed=false window_requests=1
2026-09-16T21:48:16.536477Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=3906 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=9 squeezed=false window_requests=1
2026-09-16T21:48:16.856316Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1953 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=10 squeezed=false window_requests=1
2026-09-16T21:48:17.174311Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=976 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=11 squeezed=false window_requests=1
2026-09-16T21:48:17.492047Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=488 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=12 squeezed=false window_requests=1
2026-09-16T21:48:17.810413Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=244 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=13 squeezed=false window_requests=1
2026-09-16T21:48:18.126446Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=122 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=14 squeezed=false window_requests=1
2026-09-16T21:48:18.445257Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=61 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=15 squeezed=false window_requests=1
